id,neighbourhood_group,latitude,longitude,room_type,price
44096,Bronx,40.83232,-73.93184,Private room,40
54626,Bronx,40.83075,-73.93058,Private room,45
63588,Bronx,40.81309,-73.85514,Private room,90
63610,Bronx,40.88057,-73.83572,Entire home/apt,105
71812,Bronx,40.87207,-73.90193,Entire home/apt,90
149777,Bronx,40.89747,-73.8639,Entire home/apt,77
169306,Bronx,40.85811,-73.90675,Private room,37
182177,Bronx,40.86466,-73.85709,Entire home/apt,125
206071,Bronx,40.82802,-73.92039,Private room,50
230854,Bronx,40.83001,-73.92158,Private room,50
245544,Bronx,40.8679,-73.90023,Private room,42
267535,Bronx,40.89557,-73.8447,Private room,50
385824,Bronx,40.87991,-73.91673,Entire home/apt,120
444430,Bronx,40.811280000000004,-73.92399,Private room,49
449680,Bronx,40.81611,-73.89909,Entire home/apt,100
498120,Bronx,40.8687,-73.8524,Private room,35
506575,Bronx,40.84937,-73.91328,Private room,45
525293,Bronx,40.82822,-73.92439,Entire home/apt,250
715270,Bronx,40.85956,-73.87067,Private room,39
755528,Bronx,40.8584,-73.86969,Entire home/apt,49
773041,Bronx,40.85914,-73.86979,Private room,38
781486,Bronx,40.80461,-73.92276,Private room,60
791452,Bronx,40.88757,-73.90522,Entire home/apt,60
858695,Bronx,40.84058,-73.91382,Private room,30
958444,Bronx,40.85235,-73.78873,Entire home/apt,84
1026683,Bronx,40.81906,-73.92806,Private room,85
1187643,Bronx,40.80904,-73.93037,Private room,65
1278784,Bronx,40.81291,-73.90772,Private room,60
1347175,Bronx,40.88166,-73.91103,Private room,90
1490223,Bronx,40.800110000000004,-73.9133,Private room,60
1693028,Bronx,40.88296,-73.86264,Private room,50
1739847,Bronx,40.82138,-73.87603,Private room,45
1747833,Bronx,40.84367,-73.91718,Private room,43
1798500,Bronx,40.86317,-73.82494,Private room,75
1934765,Bronx,40.83645,-73.86634,Entire home/apt,195
1936633,Bronx,40.85258,-73.78762,Entire home/apt,120
1956677,Bronx,40.80844,-73.92889,Entire home/apt,140
2008227,Bronx,40.90804,-73.90005,Private room,53
2062630,Bronx,40.85667,-73.86543,Entire home/apt,80
2082328,Bronx,40.82347,-73.89495,Private room,65
2223628,Bronx,40.86467,-73.90125,Private room,75
2296024,Bronx,40.88579,-73.91599,Entire home/apt,250
2392296,Bronx,40.88437,-73.89746,Shared room,32
2435198,Bronx,40.82528,-73.86004,Private room,50
2545184,Bronx,40.87605,-73.88047,Private room,70
2618288,Bronx,40.83012,-73.92714,Private room,41
2628191,Bronx,40.866460000000004,-73.82154,Private room,80
2669366,Bronx,40.84192,-73.91108,Private room,40
2719640,Bronx,40.80091,-73.91449,Private room,71
2772111,Bronx,40.86705,-73.88545,Shared room,55
2814931,Bronx,40.80554,-73.92606,Entire home/apt,120
2848235,Bronx,40.85711,-73.91594,Private room,44
