id,neighbourhood_group,latitude,longitude,room_type,price
2539,Brooklyn,40.64749,-73.97237,Private room,149
3831,Brooklyn,40.68514,-73.95976,Entire home/apt,89
5121,Brooklyn,40.68688,-73.95596,Private room,60
5803,Brooklyn,40.66829,-73.98779,Private room,89
6848,Brooklyn,40.70837,-73.95352,Entire home/apt,140
7097,Brooklyn,40.69169,-73.97185,Entire home/apt,215
7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99
7801,Brooklyn,40.71842,-73.95718,Entire home/apt,299
8024,Brooklyn,40.68069,-73.97706,Private room,130
8025,Brooklyn,40.67989,-73.97798,Private room,80
8110,Brooklyn,40.68001,-73.97865,Private room,110
8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120
8505,Brooklyn,40.65599,-73.97519,Private room,60
9782,Brooklyn,40.72219,-73.93762,Private room,55
10452,Brooklyn,40.6831,-73.95473,Private room,70
10962,Brooklyn,40.66869,-73.9878,Private room,89
11452,Brooklyn,40.68876,-73.94312,Private room,35
11708,Brooklyn,40.70186,-73.92745,Entire home/apt,85
11943,Brooklyn,40.63702,-73.96327,Private room,150
12299,Brooklyn,40.66278,-73.97966,Entire home/apt,120
12303,Brooklyn,40.69673,-73.97584,Private room,120
12627,Brooklyn,40.659440000000004,-73.96238,Entire home/apt,150
12940,Brooklyn,40.68111,-73.95591,Entire home/apt,110
13050,Brooklyn,40.68554,-73.9409,Entire home/apt,115
13394,Brooklyn,40.69142,-73.97376,Private room,80
13808,Brooklyn,40.68043,-73.93934,Private room,80
14290,Brooklyn,40.7042,-73.9356,Entire home/apt,228
14314,Brooklyn,40.73506,-73.95392,Entire home/apt,144
14377,Brooklyn,40.70881,-73.9593,Entire home/apt,150
15338,Brooklyn,40.72401,-73.93788,Private room,49
15385,Brooklyn,40.71185,-73.96204,Private room,80
16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200
16338,Brooklyn,40.69,-73.96788,Private room,55
16458,Brooklyn,40.67343,-73.98338,Entire home/apt,225
16595,Brooklyn,40.70933,-73.96792,Entire home/apt,275
