id,neighbourhood_group,latitude,longitude,room_type,price
2595,Manhattan,40.75362,-73.98377,Entire home/apt,225
3647,Manhattan,40.80902,-73.9419,Private room,150
5022,Manhattan,40.79851,-73.94399,Entire home/apt,80
5099,Manhattan,40.74767,-73.975,Entire home/apt,200
5178,Manhattan,40.76489,-73.98493,Private room,79
5203,Manhattan,40.80178,-73.96723,Private room,79
5238,Manhattan,40.71344,-73.99037,Entire home/apt,150
5295,Manhattan,40.80316,-73.96545,Entire home/apt,135
5441,Manhattan,40.76076,-73.98867,Private room,85
6021,Manhattan,40.79826,-73.96113,Private room,85
6090,Manhattan,40.7353,-74.00525,Entire home/apt,120
7322,Manhattan,40.74192,-73.99501,Private room,140
7750,Manhattan,40.79685,-73.94872,Entire home/apt,190
8700,Manhattan,40.86754,-73.92639,Private room,80
9357,Manhattan,40.76715,-73.98533,Entire home/apt,150
9518,Manhattan,40.86482,-73.92106,Private room,44
9657,Manhattan,40.7292,-73.98542,Entire home/apt,180
9668,Manhattan,40.82245,-73.95104,Private room,50
9704,Manhattan,40.81305,-73.95466,Private room,52
9783,Manhattan,40.8213,-73.95318,Private room,50
12048,Manhattan,40.71401,-73.98917,Shared room,40
12192,Manhattan,40.7229,-73.98199,Private room,68
12318,Manhattan,40.79009,-73.97927,Private room,135
12343,Manhattan,40.81175,-73.94478,Entire home/apt,150
14287,Manhattan,40.78635,-73.97008,Entire home/apt,151
14322,Manhattan,40.73961,-73.98074,Entire home/apt,200
14991,Manhattan,40.72004,-73.99104,Private room,110
15220,Manhattan,40.75531,-73.99293,Private room,69
15341,Manhattan,40.7221,-73.99775,Entire home/apt,180
15396,Manhattan,40.74623,-73.9953,Entire home/apt,375
15711,Manhattan,40.77065,-73.95269,Entire home/apt,250
16421,Manhattan,40.75979,-73.99119,Private room,52
16580,Manhattan,40.72649,-73.97904,Private room,80
16821,Manhattan,40.72298,-73.98474,Private room,99
16974,Manhattan,40.80164,-73.93922,Entire home/apt,225
17037,Manhattan,40.72162,-73.98008,Entire home/apt,230
17092,Manhattan,40.76342,-73.98865,Private room,51
17693,Manhattan,40.83139,-73.94095,Private room,65
18127,Manhattan,40.72828,-73.98801,Entire home/apt,190
18152,Manhattan,40.76865,-73.95058,Private room,200
18728,Manhattan,40.74138,-74.00197,Private room,150
19159,Manhattan,40.82915,-73.95136,Entire home/apt,110
19169,Manhattan,40.71851,-73.98892,Entire home/apt,285
19319,Manhattan,40.7114,-73.98794,Private room,94
20299,Manhattan,40.72334,-73.9844,Private room,60
20300,Manhattan,40.72912,-73.98057,Private room,50
21456,Manhattan,40.79764,-73.96177,Entire home/apt,140
21644,Manhattan,40.82803,-73.94731,Private room,89
21794,Manhattan,40.74008,-74.00271,Private room,98
22918,Manhattan,40.82279,-73.95139,Private room,60
23501,Manhattan,40.83927,-73.94281,Private room,65
23686,Manhattan,40.73096,-74.00319,Entire home/apt,500
25696,Manhattan,40.8092,-73.94421,Private room,100
26362,Manhattan,40.75527,-73.99291,Private room,59
26559,Manhattan,40.7288,-73.98192,Entire home/apt,140
26933,Manhattan,40.7254,-73.98157,Entire home/apt,350
26954,Manhattan,40.74294,-73.98009,Entire home/apt,199
27006,Manhattan,40.77823,-73.97637,Entire home/apt,235
27385,Manhattan,40.72555,-73.97965,Entire home/apt,225
27644,Manhattan,40.82754,-73.94919,Entire home/apt,170
27759,Manhattan,40.77842,-73.97556,Entire home/apt,170
27883,Manhattan,40.72245,-73.98527,Entire home/apt,100
28907,Manhattan,40.778,-73.94822,Entire home/apt,150
29012,Manhattan,40.85879,-73.93128,Private room,85
29455,Manhattan,40.81618,-73.94894,Entire home/apt,120
29683,Manhattan,40.72392,-73.99143,Entire home/apt,185
30927,Manhattan,40.71341,-73.98856,Entire home/apt,105
31130,Manhattan,40.76754,-73.98399,Private room,130
31555,Manhattan,40.73442,-74.00303,Entire home/apt,115
33014,Manhattan,40.72354,-73.98295,Entire home/apt,195
35526,Manhattan,40.73474,-74.00101,Private room,156
36647,Manhattan,40.79295,-73.93997,Private room,69
36703,Manhattan,40.73226,-74.00401,Entire home/apt,225
38638,Manhattan,40.77711,-73.9527,Entire home/apt,219
39267,Manhattan,40.77456,-73.95323,Entire home/apt,99
40453,Manhattan,40.76123,-73.9642,Entire home/apt,250
