id,neighbourhood_group,latitude,longitude,room_type,price
12937,Queens,40.74771,-73.9474,Private room,130
18198,Queens,40.75038,-73.90334,Private room,70
32363,Queens,40.74028,-73.83168,Private room,140
39593,Queens,40.74559,-73.92313,Private room,79
45910,Queens,40.70382,-73.89797,Entire home/apt,350
51850,Queens,40.67252,-73.76597,Private room,55
53469,Queens,40.71722,-73.87856,Entire home/apt,98
53470,Queens,40.70234,-73.89816,Private room,140
53477,Queens,40.71546,-73.87854,Entire home/apt,265
57166,Queens,40.77185,-73.90502,Entire home/apt,140
59121,Queens,40.70411,-73.89934,Entire home/apt,140
63360,Queens,40.75384,-73.91433,Entire home/apt,99
74680,Queens,40.77635,-73.93426,Entire home/apt,115
94035,Queens,40.75961,-73.91117,Private room,80
100184,Queens,40.72413,-73.76133,Private room,50
105469,Queens,40.58615,-73.81245,Private room,70
115748,Queens,40.76434,-73.92132,Entire home/apt,110
132516,Queens,40.70925,-73.85262,Entire home/apt,97
151199,Queens,40.75725,-73.91098,Entire home/apt,129
152520,Queens,40.7385,-73.91806,Private room,42
161366,Queens,40.74102,-73.91681,Private room,42
165824,Queens,40.74,-73.91901,Private room,33
180507,Queens,40.75744,-73.92163,Entire home/apt,107
180792,Queens,40.75695,-73.9202,Entire home/apt,95
193393,Queens,40.742490000000004,-73.92466,Private room,75
209310,Queens,40.73826,-73.92458,Private room,50
215784,Queens,40.75627,-73.9211,Entire home/apt,95
233638,Queens,40.70163,-73.90867,Private room,55
234870,Queens,40.74581,-73.95295,Private room,75
239733,Queens,40.77679,-73.91687,Entire home/apt,75
246916,Queens,40.7347,-73.88066,Entire home/apt,79
254131,Queens,40.74965,-73.89344,Private room,54
256078,Queens,40.74511,-73.92398,Entire home/apt,80
258686,Queens,40.70554,-73.76637,Private room,75
263776,Queens,40.74558,-73.92324,Private room,73
267435,Queens,40.73349,-73.86009,Private room,55
269889,Queens,40.74579,-73.95012,Private room,96
270231,Queens,40.74409,-73.91122,Private room,85
278145,Queens,40.77117,-73.91905,Private room,30
289958,Queens,40.75295,-73.93228,Private room,65
291812,Queens,40.76856,-73.91828,Entire home/apt,70
294239,Queens,40.76444,-73.92607,Entire home/apt,192
296361,Queens,40.737,-73.87444,Private room,55
311356,Queens,40.70215,-73.91139,Private room,52
389482,Queens,40.71151,-73.81561,Private room,75
391948,Queens,40.685810000000004,-73.84642,Shared room,45
394111,Queens,40.71068,-73.81577,Private room,75
405025,Queens,40.75453,-73.93377,Entire home/apt,215
432090,Queens,40.74826,-73.94633,Private room,50
442636,Queens,40.70054,-73.90255,Entire home/apt,77
448048,Queens,40.75193,-73.87873,Private room,75
448049,Queens,40.74906,-73.89377,Private room,69
467634,Queens,40.67747,-73.76493,Shared room,39
473592,Queens,40.7502,-73.94189,Private room,70
479285,Queens,40.74679,-73.91853,Private room,80
495249,Queens,40.75541,-73.89239,Private room,85
506527,Queens,40.75782,-73.92129,Entire home/apt,107
512775,Queens,40.75296,-73.93716,Entire home/apt,350
517654,Queens,40.70278,-73.90153,Entire home/apt,70
519310,Queens,40.74377,-73.91225,Private room,75
521806,Queens,40.72719,-73.86166,Entire home/apt,69
531091,Queens,40.75532,-73.91603,Private room,109
538590,Queens,40.75919,-73.91836,Entire home/apt,150
543792,Queens,40.70878,-73.91727,Entire home/apt,110
546383,Queens,40.75578,-73.81948,Private room,55
577324,Queens,40.76961,-73.90451,Entire home/apt,54
581542,Queens,40.59783,-73.80158,Entire home/apt,92
