id,neighbourhood_group,latitude,longitude,room_type,price
42882,Staten Island,40.64524,-74.08088,Private room,70
62452,Staten Island,40.63536,-74.08537,Private room,36
62461,Staten Island,40.63627,-74.08543,Private room,37
62787,Staten Island,40.63518,-74.08546,Private room,37
63320,Staten Island,40.63481,-74.08519,Private room,36
214917,Staten Island,40.60742,-74.14388,Private room,80
225976,Staten Island,40.61077,-74.06824,Entire home/apt,75
258838,Staten Island,40.59251,-74.06479,Entire home/apt,250
258876,Staten Island,40.59101,-74.06685,Private room,50
259946,Staten Island,40.59262,-74.06659,Entire home/apt,125
310272,Staten Island,40.62318,-74.07848,Private room,59
375249,Staten Island,40.62109,-74.16534,Private room,20
386555,Staten Island,40.62766,-74.07988,Private room,110
503460,Staten Island,40.59274,-74.16178,Private room,68
639199,Staten Island,40.50868,-74.23986,Entire home/apt,299
644575,Staten Island,40.63358,-74.0833,Private room,71
681805,Staten Island,40.62879,-74.16062,Private room,54
705749,Staten Island,40.60183,-74.08953,Private room,75
712136,Staten Island,40.60213,-74.0893,Private room,75
738588,Staten Island,40.59193,-74.06476,Entire home/apt,625
826307,Staten Island,40.63132,-74.08799,Private room,47
1059531,Staten Island,40.62922,-74.13354,Entire home/apt,221
1096326,Staten Island,40.64699,-74.08151,Entire home/apt,190
1598033,Staten Island,40.62947,-74.13378,Entire home/apt,250
1665498,Staten Island,40.61135,-74.06356,Entire home/apt,75
1798271,Staten Island,40.53884,-74.19826,Entire home/apt,700
2611458,Staten Island,40.60375,-74.08065,Private room,129
2794725,Staten Island,40.62578,-74.07356,Entire home/apt,75
2889387,Staten Island,40.6427,-74.08001,Private room,95
3037740,Staten Island,40.64444,-74.08302,Entire home/apt,175
3153140,Staten Island,40.64553,-74.08323,Entire home/apt,195
3465651,Staten Island,40.54268,-74.16254,Private room,56
3743048,Staten Island,40.64408,-74.07834,Private room,58
3892700,Staten Island,40.6205,-74.07451,Entire home/apt,70
3967160,Staten Island,40.63628,-74.07763,Entire home/apt,180
4033422,Staten Island,40.57718,-74.13981,Entire home/apt,200
4206034,Staten Island,40.63481,-74.09591,Entire home/apt,99
4623622,Staten Island,40.64571,-74.07835,Entire home/apt,1000
4974843,Staten Island,40.63182,-74.124,Entire home/apt,70
5110224,Staten Island,40.6375,-74.07654,Private room,85
5225088,Staten Island,40.62726,-74.1588,Entire home/apt,150
5771366,Staten Island,40.62105,-74.08723,Private room,49
5891777,Staten Island,40.5517,-74.14636,Entire home/apt,65
5899598,Staten Island,40.64567,-74.08368,Entire home/apt,60
6181131,Staten Island,40.63438,-74.11518,Private room,40
6330321,Staten Island,40.64524,-74.08326,Entire home/apt,89
6553257,Staten Island,40.63489,-74.08592,Entire home/apt,105
6739145,Staten Island,40.58115,-74.09182,Entire home/apt,155
6746003,Staten Island,40.62154,-74.08701,Private room,49
7144807,Staten Island,40.61363,-74.12152,Private room,45
7856476,Staten Island,40.63878,-74.10636,Private room,69
8253376,Staten Island,40.60926,-74.10092,Entire home/apt,429
8275676,Staten Island,40.5455,-74.14829,Private room,99
8343222,Staten Island,40.62257,-74.09984,Entire home/apt,80
8387338,Staten Island,40.63378,-74.08726,Private room,50
8589729,Staten Island,40.64779,-74.0846,Entire home/apt,144
8664611,Staten Island,40.62859,-74.12272,Entire home/apt,75
8671663,Staten Island,40.60514,-74.07367,Entire home/apt,120
8842185,Staten Island,40.60597,-74.06208,Private room,300
9045427,Staten Island,40.61201,-74.09513,Entire home/apt,200
9695052,Staten Island,40.63573,-74.0772,Private room,48
9767864,Staten Island,40.63661,-74.07868,Private room,40
9882254,Staten Island,40.63516,-74.07735,Private room,52
10253159,Staten Island,40.61042,-74.12277,Entire home/apt,299
10413576,Staten Island,40.64465,-74.09272,Private room,50
10502523,Staten Island,40.60077,-74.07788,Private room,35
10600032,Staten Island,40.57411,-74.09436,Entire home/apt,100
10830083,Staten Island,40.49979,-74.24084,Private room,110
11750272,Staten Island,40.62375,-74.07373,Entire home/apt,75
12230928,Staten Island,40.50708,-74.24285,Private room,100
12584072,Staten Island,40.62349,-74.07596,Entire home/apt,165
12914239,Staten Island,40.63834,-74.08291,Private room,40
12966225,Staten Island,40.57093,-74.12429,Entire home/apt,78
13222140,Staten Island,40.63342,-74.08249,Private room,72
13370393,Staten Island,40.60556,-74.08274,Entire home/apt,150
13427412,Staten Island,40.63163,-74.09297,Entire home/apt,85
13529652,Staten Island,40.63598,-74.07943,Entire home/apt,105
13673242,Staten Island,40.63245,-74.17065,Entire home/apt,100
13743786,Staten Island,40.62356,-74.07571,Entire home/apt,120
13882864,Staten Island,40.64475,-74.07811,Private room,50
14024708,Staten Island,40.56464,-74.1,Entire home/apt,62
14462592,Staten Island,40.63014,-74.17459,Entire home/apt,100
14506086,Staten Island,40.52211,-74.18028,Entire home/apt,185
14569577,Staten Island,40.51133,-74.23803,Entire home/apt,275
14588464,Staten Island,40.59116,-74.08174,Entire home/apt,275
14654676,Staten Island,40.6363,-74.15911,Private room,200
14804661,Staten Island,40.63333,-74.11311,Entire home/apt,125
14892623,Staten Island,40.59385,-74.08825,Private room,80
15081440,Staten Island,40.63215,-74.11403,Private room,69
15178725,Staten Island,40.6437,-74.07944,Entire home/apt,150
15207725,Staten Island,40.64057,-74.0786,Private room,110
15297194,Staten Island,40.64055,-74.0784,Private room,70
15462051,Staten Island,40.63135,-74.13023,Private room,79
15532430,Staten Island,40.56933,-74.09493,Private room,80
15797728,Staten Island,40.54106,-74.14666,Entire home/apt,70
15833574,Staten Island,40.62063,-74.13001,Entire home/apt,65
15949915,Staten Island,40.56233,-74.12673,Entire home/apt,100
15988392,Staten Island,40.62903,-74.08206,Private room,49
16082711,Staten Island,40.59784,-74.08391,Private room,34
16087737,Staten Island,40.59679,-74.083,Private room,34
16097336,Staten Island,40.59703,-74.08676,Private room,33
16097690,Staten Island,40.59704,-74.08716,Private room,32
16097822,Staten Island,40.59587,-74.08614,Private room,35
16098175,Staten Island,40.59719,-74.08754,Private room,32
16123943,Staten Island,40.59412,-74.06955,Private room,105
16132114,Staten Island,40.63267,-74.08369,Private room,34
16216301,Staten Island,40.6339,-74.08513,Private room,55
16232783,Staten Island,40.55616,-74.16027,Entire home/apt,51
16289102,Staten Island,40.63209,-74.11494,Private room,55
16289973,Staten Island,40.63302,-74.11396,Private room,55
16883129,Staten Island,40.6322,-74.07789,Entire home/apt,75
16964141,Staten Island,40.63552,-74.12125,Private room,100
17073870,Staten Island,40.59372,-74.06766,Entire home/apt,60
17075535,Staten Island,40.64332,-74.08283,Entire home/apt,120
17257339,Staten Island,40.64508,-74.08126,Entire home/apt,180
17383677,Staten Island,40.64596,-74.08059,Entire home/apt,65
17475711,Staten Island,40.63703,-74.08423,Private room,50
17554298,Staten Island,40.53871,-74.16966,Entire home/apt,180
17716523,Staten Island,40.59347,-74.06914,Entire home/apt,122
17735156,Staten Island,40.63116,-74.12278,Private room,49
17735639,Staten Island,40.63149,-74.12393,Private room,49
17764355,Staten Island,40.63568,-74.07826,Entire home/apt,75
17771811,Staten Island,40.63101,-74.08443,Entire home/apt,95
17955761,Staten Island,40.63168,-74.12316,Private room,89
17992512,Staten Island,40.62919,-74.08107,Entire home/apt,70
18051877,Staten Island,40.63952,-74.0973,Entire home/apt,5000
18066269,Staten Island,40.64425,-74.08056,Entire home/apt,72
18066733,Staten Island,40.64605,-74.07897,Entire home/apt,289
18191892,Staten Island,40.57825,-74.08879,Entire home/apt,95
18240743,Staten Island,40.63457,-74.07817,Private room,65
18274492,Staten Island,40.58023,-74.10725,Entire home/apt,80
18305741,Staten Island,40.63464,-74.07842,Private room,55
18414310,Staten Island,40.6348,-74.07734,Private room,65
18606237,Staten Island,40.63167,-74.07971,Private room,43
18669496,Staten Island,40.62981,-74.07998,Private room,50
18755777,Staten Island,40.63748,-74.13496,Private room,40
18828846,Staten Island,40.60642,-74.11756,Entire home/apt,49
18896540,Staten Island,40.63452,-74.11707,Private room,45
18958323,Staten Island,40.60577,-74.12819,Private room,85
18993379,Staten Island,40.61357,-74.13566,Entire home/apt,103
18997371,Staten Island,40.50873,-74.23914,Entire home/apt,85
19236716,Staten Island,40.62398,-74.10801,Private room,200
19523894,Staten Island,40.56251,-74.14781,Entire home/apt,91
19636727,Staten Island,40.60732,-74.08709,Private room,40
19691525,Staten Island,40.63144,-74.07913,Private room,34
19786757,Staten Island,40.63291,-74.11777,Private room,83
19878366,Staten Island,40.64478,-74.07897,Private room,33
19910952,Staten Island,40.62967,-74.1285,Entire home/apt,135
19929723,Staten Island,40.60609,-74.0888,Private room,34
19930489,Staten Island,40.60613,-74.08907,Private room,35
19930835,Staten Island,40.60618,-74.08712,Private room,33
19970350,Staten Island,40.58085,-74.15443,Private room,43
20034244,Staten Island,40.63529,-74.09068,Private room,59
20055311,Staten Island,40.63471,-74.10942,Entire home/apt,75
20136121,Staten Island,40.57294,-74.09615,Entire home/apt,90
20136828,Staten Island,40.57509,-74.09606,Entire home/apt,105
20148331,Staten Island,40.55182,-74.14439,Entire home/apt,150
20210285,Staten Island,40.63291,-74.11749,Private room,37
20305160,Staten Island,40.59546,-74.06092,Entire home/apt,800
20476779,Staten Island,40.64262,-74.08066,Private room,68
20542510,Staten Island,40.59669,-74.08645,Private room,32
20572837,Staten Island,40.63975,-74.07774,Private room,70
20676841,Staten Island,40.61353,-74.06724,Private room,55
20729216,Staten Island,40.64119,-74.08369,Entire home/apt,109
20886536,Staten Island,40.58091,-74.15485,Private room,52
20917712,Staten Island,40.64579,-74.08027,Private room,29
20941915,Staten Island,40.64123,-74.08169,Private room,85
21260624,Staten Island,40.57641,-74.12931,Entire home/apt,115
21378123,Staten Island,40.58508,-74.16162,Entire home/apt,58
21501184,Staten Island,40.63118,-74.12866,Private room,55
21517530,Staten Island,40.64591,-74.08399,Entire home/apt,125
21550437,Staten Island,40.59746,-74.08406,Private room,32
21623610,Staten Island,40.63333,-74.08389,Private room,30
21901025,Staten Island,40.64537,-74.08381,Private room,100
21981845,Staten Island,40.63108,-74.12512,Private room,27
22087812,Staten Island,40.61603,-74.08666,Entire home/apt,65
22122388,Staten Island,40.6311,-74.12816,Entire home/apt,149
22276159,Staten Island,40.64497,-74.08456,Private room,75
22420304,Staten Island,40.61422,-74.13167,Private room,40
22450373,Staten Island,40.63229,-74.11351,Entire home/apt,99
22511108,Staten Island,40.6322,-74.07913,Entire home/apt,95
22649404,Staten Island,40.63518,-74.07956,Entire home/apt,65
22730139,Staten Island,40.56033,-74.18259,Entire home/apt,75
22792746,Staten Island,40.64581,-74.07949,Entire home/apt,150
22856025,Staten Island,40.60295,-74.17117,Private room,25
22937305,Staten Island,40.60336,-74.17118,Private room,39
22977021,Staten Island,40.5895,-74.09663,Shared room,20
23059062,Staten Island,40.64399,-74.08526,Entire home/apt,77
23148112,Staten Island,40.63012,-74.13512,Entire home/apt,50
23219361,Staten Island,40.59078,-74.07504,Entire home/apt,71
23247442,Staten Island,40.63462,-74.08136,Entire home/apt,245
23300336,Staten Island,40.63179,-74.16122,Private room,40
23308563,Staten Island,40.62422,-74.09316,Private room,60
23336877,Staten Island,40.60809,-74.0727,Entire home/apt,165
23433585,Staten Island,40.63779,-74.12274,Private room,31
23465912,Staten Island,40.57879,-74.11043,Entire home/apt,60
23597323,Staten Island,40.57044,-74.11747,Entire home/apt,57
23839013,Staten Island,40.61758,-74.09112,Entire home/apt,110
23996479,Staten Island,40.63485,-74.08539,Private room,37
23998608,Staten Island,40.57942,-74.15506,Private room,50
24019172,Staten Island,40.64393,-74.09312,Private room,40
24057583,Staten Island,40.61804,-74.0861,Entire home/apt,60
24412681,Staten Island,40.63275,-74.13681,Private room,47
24476209,Staten Island,40.59761,-74.08347,Private room,33
24573377,Staten Island,40.59757,-74.08434,Private room,35
